keyword,search_volume,cpc,competition,competition_index,opportunity_score,cluster
meditation app,49500,5.44,LOW,8,84.3765,meditation_mindfulness
calorie tracking app,40500,3.42,LOW,7,60.6557,fitness_body_composition
fitness tracking app,5400,2.97,LOW,2,8.2365,fitness_body_composition
habit tracker app,6600,1.69,LOW,15,7.8697,habit_morning_routine
daily meditation,3600,5.72,LOW,13,5.9082,meditation_mindfulness
knowledge management tools,5400,2.86,MEDIUM,58,4.375,second_brain_pkm
sober curious,2900,4.56,LOW,18,4.1548,alcohol_moderation
obsidian alternatives,1000,66.79,LOW,10,3.24,second_brain_pkm
adult sports league,1900,2.5,LOW,5,2.7075,adult_social_sports
adult softball league,1900,1.64,LOW,3,2.5743,adult_baseball
alcohol free lifestyle,590,24.84,MEDIUM,44,1.4868,alcohol_moderation
ergonomic workspace,1000,4.76,MEDIUM,36,1.417,posture_pain
build in public,390,26.51,LOW,1,1.39,founder_marketing
adult baseball league,1000,0.66,LOW,3,1.2408,adult_baseball
personal knowledge management,590,5.03,LOW,3,1.0322,second_brain_pkm
note taking system,720,2.2,LOW,3,1.0225,second_brain_pkm
mindful drinking,590,5.69,LOW,13,0.9664,alcohol_moderation
morning routine productivity,590,2.9,LOW,2,0.8951,habit_morning_routine
breathing exercises app,480,2.95,LOW,20,0.5967,meditation_mindfulness
social fitness app,480,0,LOW,0,0.576,adult_social_sports
solo founder,210,12.6,LOW,3,0.5524,founder_marketing
body composition tracking,320,6.68,LOW,14,0.5508,fitness_body_composition
second brain app,260,7.47,LOW,8,0.5015,second_brain_pkm
workout partner app,260,5.39,LOW,8,0.4418,adult_social_sports
run club app,210,4.94,LOW,7,0.3501,adult_social_sports
morning routine app,260,3.41,LOW,26,0.3096,habit_morning_routine
alcohol moderation,140,10.24,LOW,11,0.3026,alcohol_moderation
weight loss accountability,140,12.85,MEDIUM,41,0.2831,fitness_body_composition
drink less alcohol,210,6.07,MEDIUM,46,0.2734,alcohol_moderation
pickup baseball,170,0,LOW,0,0.204,adult_baseball
how to drink less,210,1.51,MEDIUM,45,0.1994,alcohol_moderation
cut back on drinking,170,3.7,MEDIUM,43,0.1991,alcohol_moderation
streak tracker,110,2.95,LOW,9,0.1556,habit_morning_routine
adult recreational sports,110,1.82,LOW,9,0.142,adult_social_sports
fitness community app,90,1.87,LOW,5,0.1218,adult_social_sports
pkm app,90,0,LOW,0,0.108,second_brain_pkm
mindfulness for entrepreneurs,70,0,LOW,0,0.084,meditation_mindfulness
workout consistency,70,0,LOW,1,0.0832,fitness_body_composition
baseball batting practice,1600,0.8,HIGH,94,0.0829,adult_baseball
building better habits,50,2.05,LOW,14,0.0622,habit_morning_routine
solopreneur marketing,40,2.6,LOW,6,0.0569,founder_marketing
adult recreational baseball,40,0,LOW,1,0.0475,adult_baseball
neck pain from desk,70,0.73,MEDIUM,59,0.0462,posture_pain
posture fix exercises,30,0.1,LOW,19,0.0295,posture_pain
meditation habit,20,0,LOW,1,0.0238,meditation_mindfulness
body fat tracker,110,2.8,HIGH,88,0.0135,fitness_body_composition
content creation for entrepreneurs,10,0,LOW,0,0.012,founder_marketing
upper back pain computer,10,0,LOW,2,0.0118,posture_pain
habit building system,10,0,,0,0.01,habit_morning_routine
daily routine builder,20,5.41,HIGH,96,0.001,habit_morning_routine
find baseball players near me,0,0,,0,0.0,adult_baseball
baseball practice group,0,0,,0,0.0,adult_baseball
baseball training partner,0,0,,0,0.0,adult_baseball
desk worker exercises,0,0,,0,0.0,posture_pain
sitting all day solutions,0,0,,0,0.0,posture_pain
posture corrector,60500,1.37,HIGH,100,0.0,posture_pain
personal brand for founders,0,0,,0,0.0,founder_marketing
indie hacker marketing,0,0,,0,0.0,founder_marketing
founder content strategy,0,0,,0,0.0,founder_marketing
digital note system,0,0,,0,0.0,second_brain_pkm
recreational sports app,0,0,,0,0.0,adult_social_sports
fitness habit app,0,0,,0,0.0,fitness_body_composition
