keyword,search_volume,cpc,competition,ci,opp,cluster
vibe coding,110000,10.97,MEDIUM,45,190.303,vibe_coding_ai
cursor ai,110000,8.02,MEDIUM,45,163.532,vibe_coding_ai
no code app builder,14800,25.92,LOW,10,47.952,vibe_coding_ai
best time to visit japan,27100,2.1,LOW,14,33.84,travel_timing
amazon price history,18100,3.63,LOW,1,29.308,price_tracking
ai app builder,9900,32.46,MEDIUM,44,24.948,vibe_coding_ai
batting cage near me,18100,0.58,LOW,23,17.694,batting_cages
ai coding tool,4400,19.41,LOW,12,13.665,vibe_coding_ai
indoor batting cage,12100,2.39,MEDIUM,53,10.569,batting_cages
adult summer camp,6600,2.53,LOW,11,8.832,adult_sports_camp
ai tools for small business,880,21.01,LOW,10,2.851,ai_small_biz
calisthenics class near me,1600,3.32,MEDIUM,45,1.758,adult_sports_camp
ai digital twin,880,12.96,LOW,31,1.673,digital_twin_memory
pga tour app,1000,3.07,LOW,5,1.49,golf_tools
batting cage rental,880,0.74,LOW,9,1.032,batting_cages
price tracker app,480,5.58,LOW,4,0.862,price_tracking
fantasy baseball tool,260,4.38,LOW,14,0.386,fantasy_sports_ai
amazon price drop alert,320,0,LOW,1,0.38,price_tracking
personal ai assistant app,210,9.18,MEDIUM,41,0.356,digital_twin_memory
outdoor fitness class,210,4.36,LOW,4,0.347,adult_sports_camp
adult fitness camp,320,6.81,MEDIUM,63,0.299,adult_sports_camp
golf stat tracker,260,4.48,MEDIUM,62,0.215,golf_tools
fantasy baseball app,140,4.67,LOW,27,0.18,fantasy_sports_ai
energy gum,6600,1.24,HIGH,98,0.119,performance_products
when to visit,90,0,LOW,0,0.108,travel_timing
credit card optimizer,70,6.48,LOW,26,0.102,credit_card_tools
adult baseball camp,50,5.41,LOW,5,0.088,adult_sports_camp
baseball player profile,70,0,LOW,1,0.083,baseball_recruiting
golf practice app,70,0,LOW,12,0.074,golf_tools
adult sports camp,50,3.43,LOW,9,0.073,adult_sports_camp
ai for local business,20,29.32,MEDIUM,50,0.045,ai_small_biz
small business ai assistant,20,17.15,MEDIUM,50,0.041,ai_small_biz
price drop alert app,40,0,LOW,21,0.038,price_tracking
credit card rewards optimizer,30,0,LOW,3,0.035,credit_card_tools
fantasy sports ai,30,0,LOW,8,0.033,fantasy_sports_ai
youth baseball showcase,20,4.48,LOW,16,0.029,baseball_recruiting
digital legacy app,10,15.91,LOW,25,0.023,digital_twin_memory
fantasy baseball assistant,10,6.55,MEDIUM,37,0.016,fantasy_sports_ai
ai fantasy baseball,10,3.62,LOW,21,0.013,fantasy_sports_ai
ai memory app,10,0,LOW,8,0.011,digital_twin_memory
performance gum,30,1.3,HIGH,72,0.008,performance_products
golf round tracker,20,1.4,HIGH,75,0.005,golf_tools
price adjustment tool,0,0,,0,0.0,price_tracking
baseball recruiting platform,0,0,,0,0.0,baseball_recruiting
high school baseball recruiting,0,0,,0,0.0,baseball_recruiting
caffeine gum athletes,0,0,,0,0.0,performance_products
high protein noodles,1900,0.65,HIGH,100,0.0,performance_products
protein pasta,74000,0.34,HIGH,100,0.0,performance_products
best credit card chrome extension,0,0,,0,0.0,credit_card_tools
travel timing app,0,0,,0,0.0,travel_timing
adult recreational camp,0,0,,0,0.0,adult_sports_camp
