keyword,search_volume,competition_index,cpc,competition,cluster
financial data api,1300,1,26.71,LOW,ai_data_trading
data as a service,880,17,26.22,LOW,ai_data_trading
ai business intelligence,720,17,24.82,LOW,ai_data_trading
text to sql,720,15,10.89,LOW,ai_data_trading
nl2sql,480,15,9.82,LOW,ai_data_trading
automated trading software,390,41,9.48,MEDIUM,ai_data_trading
self serve analytics,390,7,41.64,LOW,ai_data_trading
ai data analysis tool,320,33,31.97,LOW,ai_data_trading
natural language sql,170,18,2.99,LOW,ai_data_trading
ai analytics platform,140,12,27.95,LOW,ai_data_trading
quantitative trading platform,110,41,7.61,MEDIUM,ai_data_trading
buy datasets,110,8,21.71,LOW,ai_data_trading
algo trading platform,90,62,6.81,MEDIUM,ai_data_trading
sql ai tool,70,62,25.53,MEDIUM,ai_data_trading
stock screener api,70,44,4.51,MEDIUM,ai_data_trading
dataset marketplace,30,22,10.13,LOW,ai_data_trading
fundamental data api,30,20,4.17,LOW,ai_data_trading
partner program software,20,15,84.68,LOW,ai_data_trading
public company data api,10,86,12.33,HIGH,ai_data_trading
trading strategy builder,10,74,7.79,HIGH,ai_data_trading
trading bot builder,10,73,5.91,HIGH,ai_data_trading
stock financial data api,10,58,13.71,MEDIUM,ai_data_trading
earnings report api,10,36,12.69,MEDIUM,ai_data_trading
natural language bi,10,34,0,MEDIUM,ai_data_trading
no code trading bot,10,29,0,LOW,ai_data_trading
earnings data api,10,27,27.25,LOW,ai_data_trading
company financial data api,10,8,0,LOW,ai_data_trading
trading algorithm builder,0,0,0,,ai_data_trading
saas referral marketplace,0,0,0,,ai_data_trading
saas affiliate program software,0,0,0,,ai_data_trading
replace tableau with ai,0,0,0,,ai_data_trading
niche data api,0,0,0,,ai_data_trading
data api provider,0,0,0,,ai_data_trading
b2b affiliate marketing platform,0,0,0,,ai_data_trading
affiliate marketing software b2b,0,0,0,,ai_data_trading
