keyword,search_volume,competition_index,cpc
tdee calculator,450000,22,0.73
calorie deficit calculator,301000,35,0.99
macro calculator,110000,28,0.95
one rep max calculator,90500,1,0.38
protein calculator,74000,5,0.55
body fat calculator,74000,3,1.12
calorie calculator for weight loss,74000,9,0.89
running pace calculator,33100,1,3.59
nutrition calculator,18100,12,2.07
vo2 max calculator,18100,1,0.92
macro calculator for weight loss,14800,33,1.00
macro tracker,5400,48,2.84
meal plan grocery list,2400,100,3.85
recipe macro calculator,1900,5,1.74
macro meal planner,1300,84,4.97
meal plan generator,1000,49,3.50
grocery list generator,210,11,4.00
meal planning calculator,260,41,1.92
calorie meal planner,210,87,2.87
automatic grocery list,20,8,0.00
